mmap_size,latency
1024,0.000320476818
1024,0.000321625441
1024,0.000320681186
1024,0.000323313724
1024,0.000323609490
1024,0.000322571722
1024,0.000324470158
1024,0.000325897807
1024,0.000320648756
2048,0.000320180270
2048,0.000321917335
2048,0.000319665908
2048,0.000321949781
2048,0.000320193059
2048,0.000320871562
2048,0.000321836356
2048,0.000321231494
2048,0.000320685582
4096,0.000326490820
4096,0.000322701321
4096,0.000326210149
4096,0.000321197827
4096,0.000326155107
4096,0.000322408697
4096,0.000325702679
4096,0.000322166040
4096,0.000322509673
8192,0.000325464486
8192,0.000324949082
8192,0.000323197114
8192,0.000324267565
8192,0.000323366111
8192,0.000324254353
8192,0.000321455490
8192,0.000324269475
8192,0.000323871921
16384,0.000324862908
16384,0.000324094984
16384,0.000325194015
16384,0.000318656321
16384,0.000323231046
16384,0.000324011103
16384,0.000319347651
16384,0.000323522030
16384,0.000325209685
32768,0.000322421925
32768,0.000322312169
32768,0.000321787832
32768,0.000322444814
32768,0.000320157145
32768,0.000320926955
32768,0.000318850117
32768,0.000325306386
32768,0.000320805637
65536,0.000324950290
65536,0.000326897033
65536,0.000323180053
65536,0.000323624263
65536,0.000321599870
65536,0.000323255304
65536,0.000321617298
65536,0.000325377429
65536,0.000322932313
131072,0.000319772307
131072,0.000322807229
131072,0.000324035726
131072,0.000321071801
131072,0.000319574613
131072,0.000324161709
131072,0.000320179087
131072,0.000318534613
131072,0.000320602795
262144,0.000327404324
262144,0.000324597999
262144,0.000319174772
262144,0.000320096338
262144,0.000325211206
262144,0.000323322464
262144,0.000324031055
262144,0.000322019375
262144,0.000323933185
524288,0.000319265466
524288,0.000318711295
524288,0.000322302824
524288,0.000321013612
524288,0.000320458174
524288,0.000322786112
524288,0.000322484330
524288,0.000320727933
524288,0.000321447496
1048576,0.000318852883
1048576,0.000324468187
1048576,0.000321262643
1048576,0.000323271232
1048576,0.000321104371
1048576,0.000321927728
1048576,0.000323633312
1048576,0.000322029780
1048576,0.000320376048
